recall_id,session_id,participant_id,marker_id,target_word,audio_file_path,timestamp
100,101,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_182643_338_PRACTICE_PEAR_pară.m4a,2025-12-15 17:26:43
101,103,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_185742_532_PRACTICE_PEAR_pară.m4a,2025-12-15 17:57:42
102,104,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_185750_999_PRACTICE_PEAR_pară.m4a,2025-12-15 17:57:51
103,105,11,PRACTICE_PEAR,pară,voice_recordings/P011_20251215_185840_379_PRACTICE_PEAR_pară.m4a,2025-12-15 17:58:40
104,106,11,PRACTICE_GLOVES,mânuși,voice_recordings/P011_20251215_185906_891_PRACTICE_GLOVES_mânuși.m4a,2025-12-15 17:59:06
105,107,11,JACKET_ID_6,jachetă,voice_recordings/P011_20251215_185950_008_JACKET_ID_6_jachetă.m4a,2025-12-15 17:59:50
106,108,11,CUCUMBER_ID_5,castravete,voice_recordings/P011_20251215_190004_597_CUCUMBER_ID_5_castravete.m4a,2025-12-15 18:00:04
107,109,11,SPOON_ID_4,lingură,voice_recordings/P011_20251215_190016_874_SPOON_ID_4_lingură.m4a,2025-12-15 18:00:16
108,110,11,SHOES_ID_3,pantofi,voice_recordings/P011_20251215_190027_214_SHOES_ID_3_pantofi.m4a,2025-12-15 18:00:27
109,111,11,APPLE_ID_2,măr,voice_recordings/P011_20251215_190038_539_APPLE_ID_2_măr.m4a,2025-12-15 18:00:38
110,112,11,CUP_ID_1,cupă,voice_recordings/P011_20251215_190047_651_CUP_ID_1_cupă.m4a,2025-12-15 18:00:47
