participant_id,age,gender,nationality,language_experience,condition_order,session_id,marker_id,object_name,target_word,modality,phase,word_shown_at,recall_id,audio_file_path,voice_recorded_at
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,79,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:20:43,78.0,voice_recordings/P008_20251212_172049_959_JACKET_ID_6_jachetă.m4a,2025-12-12 16:20:49
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,80,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:20:55,79.0,voice_recordings/P008_20251212_172101_243_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:21:01
8,23,m,Italian,"Italian, English, Spanish, German",ar-first,81,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:21:08,80.0,voice_recordings/P008_20251212_172113_936_SPOON_ID_4_lingură.m4a,2025-12-12 16:21:13
9,27,m,Swedish,"Swedish, English",ar-first,85,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 16:31:50,84.0,voice_recordings/P009_20251212_173157_960_SHOES_ID_3_pantofi.m4a,2025-12-12 16:31:57
9,27,m,Swedish,"Swedish, English",ar-first,86,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 16:32:05,85.0,voice_recordings/P009_20251212_173210_327_APPLE_ID_2_măr.m4a,2025-12-12 16:32:10
9,27,m,Swedish,"Swedish, English",ar-first,87,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 16:32:15,86.0,voice_recordings/P009_20251212_173221_822_CUP_ID_1_cupă.m4a,2025-12-12 16:32:21
9,27,m,Swedish,"Swedish, English",ar-first,88,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:29,87.0,voice_recordings/P009_20251212_173235_225_JACKET_ID_6_jachetă.m4a,2025-12-12 16:32:35
9,27,m,Swedish,"Swedish, English",ar-first,89,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:40,88.0,voice_recordings/P009_20251212_173247_032_CUCUMBER_ID_5_castravete.m4a,2025-12-12 16:32:47
9,27,m,Swedish,"Swedish, English",ar-first,90,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 16:32:50,89.0,voice_recordings/P009_20251212_173256_156_SPOON_ID_4_lingură.m4a,2025-12-12 16:32:56
10,23,m,Turkish,"Turkish, English, French",ar-first,94,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:17,93.0,voice_recordings/P010_20251212_181825_106_SHOES_ID_3_pantofi.m4a,2025-12-12 17:18:25
10,23,m,Turkish,"Turkish, English, French",ar-first,95,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:31,94.0,voice_recordings/P010_20251212_181837_685_APPLE_ID_2_măr.m4a,2025-12-12 17:18:37
10,23,m,Turkish,"Turkish, English, French",ar-first,96,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-12 17:18:42,95.0,voice_recordings/P010_20251212_181849_361_CUP_ID_1_cupă.m4a,2025-12-12 17:18:49
10,23,m,Turkish,"Turkish, English, French",ar-first,97,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:18:54,96.0,voice_recordings/P010_20251212_181901_647_JACKET_ID_6_jachetă.m4a,2025-12-12 17:19:01
10,23,m,Turkish,"Turkish, English, French",ar-first,98,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:19:04,97.0,voice_recordings/P010_20251212_181910_729_CUCUMBER_ID_5_castravete.m4a,2025-12-12 17:19:10
10,23,m,Turkish,"Turkish, English, French",ar-first,99,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-12 17:19:16,98.0,voice_recordings/P010_20251212_181921_921_SPOON_ID_4_lingură.m4a,2025-12-12 17:19:21
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,107,JACKET_ID_6,jacket,jachetă,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 17:59:45,105.0,voice_recordings/P011_20251215_185950_008_JACKET_ID_6_jachetă.m4a,2025-12-15 17:59:50
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,108,CUCUMBER_ID_5,cucumber,castravete,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 17:59:58,106.0,voice_recordings/P011_20251215_190004_597_CUCUMBER_ID_5_castravete.m4a,2025-12-15 18:00:04
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,109,SPOON_ID_4,spoon,lingură,TRADITIONAL_TEXT_AUDIO,experiment,2025-12-15 18:00:09,107.0,voice_recordings/P011_20251215_190016_874_SPOON_ID_4_lingură.m4a,2025-12-15 18:00:16
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,110,SHOES_ID_3,shoes,pantofi,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:21,108.0,voice_recordings/P011_20251215_190027_214_SHOES_ID_3_pantofi.m4a,2025-12-15 18:00:27
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,111,APPLE_ID_2,apple,măr,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:31,109.0,voice_recordings/P011_20251215_190038_539_APPLE_ID_2_măr.m4a,2025-12-15 18:00:38
11,24,f,Italian,"Italian, English, Spanish",tradtional-first,112,CUP_ID_1,cup,cupă,AR_TEXT_AUDIO,experiment,2025-12-15 18:00:42,110.0,voice_recordings/P011_20251215_190047_651_CUP_ID_1_cupă.m4a,2025-12-15 18:00:47
